epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7814,1.56443,4.20461,3.97762,1.20085,0.01503,0.39819,0.20533,0.12036,0.00642,0.15833,0.14651,0.06423,1.02405,2.65788,4.18645,0.93205,0.00029,0.00029,0.00029
2,94.8061,1.23526,2.62659,2.9679,0.9898,1,0.10329,0.17248,0.10872,1,0.08717,0.16583,0.10217,0.95715,2.40082,3.89152,0.90111,0.000541325,0.000541325,0.000541325
3,141.561,0.98582,2.20985,1.61168,0.92506,0.99721,0.17609,0.52064,0.3106,0.83053,0.16248,0.2356,0.13115,1.1711,2.20532,3.04213,0.96141,0.00074315,0.00074315,0.00074315
4,185.32,0.86419,1.99425,0.99095,0.88944,0.93898,0.63394,0.63118,0.48529,0.6318,0.28905,0.29556,0.14293,0.86394,2.14613,1.2699,0.87478,0.0007525,0.0007525,0.0007525
5,233.208,0.79402,1.93017,0.81989,0.87016,0.92455,0.64975,0.63345,0.53185,0.82264,0.32176,0.31857,0.18559,0.68329,1.79871,0.74246,0.84209,0.00067,0.00067,0.00067
6,279.156,0.6976,1.79325,0.74954,0.85353,0.91519,0.65318,0.63225,0.54636,0.82885,0.33573,0.32295,0.20149,0.63815,1.71986,0.67757,0.8363,0.0005875,0.0005875,0.0005875
7,324.434,0.63511,1.7238,0.67379,0.83804,0.91752,0.65997,0.62995,0.54699,0.83354,0.33796,0.32467,0.19347,0.60902,1.61114,0.65932,0.83007,0.000505,0.000505,0.000505
8,371.913,0.63068,1.65154,0.66178,0.83227,0.94023,0.6558,0.63847,0.57631,0.83716,0.34074,0.32567,0.19153,0.55799,1.55886,0.60171,0.82462,0.0004225,0.0004225,0.0004225
9,421.047,0.599,1.60064,0.628,0.8278,0.93571,0.66304,0.64254,0.57753,0.69006,0.34382,0.32864,0.20368,0.5338,1.50957,0.57673,0.81784,0.00034,0.00034,0.00034
10,474.653,0.56661,1.55257,0.60492,0.82316,0.94112,0.64769,0.64681,0.58884,0.66525,0.33469,0.32215,0.20072,0.49509,1.48449,0.55245,0.8139,0.0002575,0.0002575,0.0002575
11,531.631,0.54371,1.53976,0.59769,0.81833,0.94,0.64493,0.64979,0.60244,0.66975,0.33747,0.32112,0.19688,0.46657,1.45065,0.53389,0.81128,0.000175,0.000175,0.000175
12,592.348,0.50784,1.49931,0.57561,0.81363,0.93812,0.64855,0.65242,0.60809,0.66915,0.33747,0.32243,0.19805,0.45158,1.43973,0.53017,0.81141,9.25e-05,9.25e-05,9.25e-05
