epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.688,1.47722,5.94364,0.73995,1.67744,1.30848,0.99796,1,0.995,0.73083,0,0,0,0,0.91577,6.27255,0.67323,1.01614,0.92223,0.00058,0.00058,0.00058
2,119.079,1.1127,3.82713,0.7899,0.7396,1.06774,0.96279,1,0.99451,0.74555,0.7846,0.81667,0.67318,0.14277,0.92577,3.74527,0.82213,0.83983,0.92422,0.00112159,0.00112159,0.00112159
3,174.096,1.09617,2.80532,0.82634,0.70947,1.05039,0.99516,1,0.995,0.74321,0.99516,1,0.995,0.49289,0.91466,1.87851,0.95607,0.78724,1.00407,0.00160378,0.00160378,0.00160378
4,229.627,1.06196,2.01473,0.81745,0.67974,1.04247,0.9981,1,0.995,0.77359,0.9981,1,0.995,0.76038,0.8327,1.15254,1.00786,0.69058,0.91753,0.001703,0.001703,0.001703
5,286.331,0.99859,1.68904,0.76053,0.67025,1.03414,0.99896,1,0.995,0.81118,0.99896,1,0.995,0.80491,0.65056,0.80411,0.81851,0.68597,0.84823,0.001604,0.001604,0.001604
6,340.432,0.91182,1.35703,0.71211,0.62552,1.01486,0.99731,1,0.995,0.88743,0.99731,1,0.995,0.89738,0.55916,0.44818,0.70924,0.5014,0.8241,0.001505,0.001505,0.001505
7,402.392,0.82513,1.19804,0.67888,0.5762,0.96999,0.99888,1,0.995,0.87655,0.99888,1,0.995,0.90805,0.54511,0.39785,0.62562,0.43578,0.82484,0.001406,0.001406,0.001406
8,457.782,0.77615,1.01401,0.66212,0.53629,0.96669,0.99896,1,0.995,0.88001,0.99896,1,0.995,0.96299,0.53049,0.3473,0.54325,0.37164,0.82134,0.001307,0.001307,0.001307
9,513.262,0.76157,0.77388,0.64329,0.53976,0.9662,0.99862,1,0.995,0.89715,0.99862,1,0.995,0.95347,0.48096,0.26936,0.47693,0.41207,0.80386,0.001208,0.001208,0.001208
10,567.929,0.70052,0.79624,0.61537,0.53543,0.943,0.99904,1,0.995,0.9161,0.99904,1,0.995,0.99357,0.42652,0.23366,0.433,0.3459,0.78919,0.001109,0.001109,0.001109
11,625.643,0.50634,0.40878,0.43966,0.42131,0.84702,0.99895,1,0.995,0.9406,0.99895,1,0.995,0.99083,0.37532,0.21509,0.38908,0.3718,0.78549,0.00101,0.00101,0.00101
12,682.805,0.50721,0.38383,0.39271,0.3878,0.84258,0.99904,1,0.995,0.91545,0.99904,1,0.995,0.90357,0.42838,0.34219,0.31351,0.34683,0.79541,0.000911,0.000911,0.000911
13,741.962,0.45675,0.33225,0.35409,0.36187,0.82655,0.99904,1,0.995,0.93497,0.99904,1,0.995,0.99017,0.40001,0.17507,0.28426,0.33073,0.78635,0.000812,0.000812,0.000812
14,797.419,0.4502,0.26824,0.3208,0.34068,0.82465,0.99901,1,0.995,0.92813,0.99901,1,0.995,0.99283,0.39195,0.15774,0.25361,0.32237,0.78296,0.000713,0.000713,0.000713
15,853.39,0.40177,0.2374,0.29682,0.33789,0.8043,0.999,1,0.995,0.93961,0.999,1,0.995,0.995,0.37854,0.12786,0.24029,0.30279,0.78848,0.000614,0.000614,0.000614
16,909.172,0.38073,0.22476,0.28298,0.30438,0.82207,0.99905,1,0.995,0.96232,0.99905,1,0.995,0.995,0.3424,0.12087,0.2252,0.26401,0.78079,0.000515,0.000515,0.000515
17,966.496,0.36304,0.19319,0.27308,0.30111,0.81815,0.99903,1,0.995,0.96963,0.99903,1,0.995,0.995,0.28971,0.12531,0.20854,0.24914,0.7711,0.000416,0.000416,0.000416
18,1022.17,0.32595,0.18588,0.27159,0.27983,0.81002,0.99906,1,0.995,0.98372,0.99906,1,0.995,0.995,0.28592,0.09779,0.19893,0.25596,0.77204,0.000317,0.000317,0.000317
19,1077.7,0.32432,0.19262,0.24194,0.27755,0.79597,0.99905,1,0.995,0.98803,0.99905,1,0.995,0.995,0.24835,0.08633,0.1939,0.23265,0.76609,0.000218,0.000218,0.000218
20,1134.72,0.28073,0.16239,0.24514,0.2543,0.79612,0.99908,1,0.995,0.97817,0.99908,1,0.995,0.995,0.28239,0.0909,0.19076,0.22913,0.77197,0.000119,0.000119,0.000119
